season,player_id,player_name,team,position,green_zone_carries,targets,HVTs,team_green_zone_carries_all_games,total_team_RB_HVTs_all_games,team_green_zone_carries_in_played_games,total_team_RB_HVTs_in_played_games,games_played_season,HVTs_per_game,pct_team_green_zone_carries_all_games,pct_team_green_zone_carries_in_played_games,pct_team_RB_HVTs_all_games,pct_team_RB_HVTs_in_played_games,total_pass_attempts,total_touchdown_passes,avg_cpoe,touchdown_rate,games_over_30_degrees,games_below_30_degrees,avg_fp_over_30_degrees,avg_fp_below_30_degrees,avg_fp_wind_below_20_mph,avg_fp_wind_above_20_mph,diff_fp_temp_30_degrees,diff_fp_wind_20_mph,avg_pass_epa_deep_left,avg_pass_epa_deep_middle,avg_pass_epa_deep_right,avg_pass_epa_short_left,avg_pass_epa_short_middle,avg_pass_epa_short_right,avg_rec_epa_rec_deep_left,avg_rec_epa_rec_deep_middle,avg_rec_epa_rec_deep_right,avg_rec_epa_rec_short_left,avg_rec_epa_rec_short_middle,avg_rec_epa_rec_short_right,pct_targets_rec_deep_left,pct_targets_rec_deep_middle,pct_targets_rec_deep_right,pct_targets_rec_short_left,pct_targets_rec_short_middle,pct_targets_rec_short_right,total_tackled_for_loss,total_rb_carries,pct_carries_tackled_for_loss,down_1_attempts,down_1_completions,down_1_passing_yards,down_1_passing_tds,down_1_interceptions,down_1_sacks_taken,down_1_passing_first_downs,down_1_carries,down_1_rushing_yards,down_1_rushing_tds,down_1_fumbles,down_1_rushing_first_downs,down_1_targets,down_1_receptions,down_1_receiving_yards,down_1_receiving_tds,down_1_receiving_first_downs,down_1_total_first_downs,down_1_team_carries_in_played_games,down_1_team_targets_in_played_games,down_1_team_receptions_in_played_games,down_1_team_rush_fd_in_played_games,down_1_team_rec_fd_in_played_games,down_1_games_played,down_1_team_carries_all_games,down_1_team_targets_all_games,down_1_team_receptions_all_games,down_1_team_rush_fd_all_games,down_1_team_rec_fd_all_games,down_1_pct_team_carries_in_played_games,down_1_pct_team_targets_in_played_games,down_1_pct_team_receptions_in_played_games,down_1_pct_team_rush_fd_in_played_games,down_1_pct_team_rec_fd_in_played_games,down_1_yards_per_pass_attempt,down_1_yards_per_completion,down_1_yards_per_carry,down_1_yards_per_target,down_1_yards_per_reception,down_1_pass_attempts_per_game,down_1_completions_per_game,down_1_passing_yards_per_game,down_1_passing_first_downs_per_game,down_1_carries_per_game,down_1_rushing_yards_per_game,down_1_rushing_first_downs_per_game,down_1_targets_per_game,down_1_receptions_per_game,down_1_receiving_yards_per_game,down_1_receiving_first_downs_per_game,down_3_attempts,down_3_completions,down_3_passing_yards,down_3_passing_tds,down_3_interceptions,down_3_sacks_taken,down_3_passing_first_downs,down_3_carries,down_3_rushing_yards,down_3_rushing_tds,down_3_fumbles,down_3_rushing_first_downs,down_3_targets,down_3_receptions,down_3_receiving_yards,down_3_receiving_tds,down_3_receiving_first_downs,down_3_total_first_downs,down_3_team_carries_in_played_games,down_3_team_targets_in_played_games,down_3_team_receptions_in_played_games,down_3_team_rush_fd_in_played_games,down_3_team_rec_fd_in_played_games,down_3_games_played,down_3_team_carries_all_games,down_3_team_targets_all_games,down_3_team_receptions_all_games,down_3_team_rush_fd_all_games,down_3_team_rec_fd_all_games,down_3_pct_team_carries_in_played_games,down_3_pct_team_targets_in_played_games,down_3_pct_team_receptions_in_played_games,down_3_pct_team_rush_fd_in_played_games,down_3_pct_team_rec_fd_in_played_games,down_3_yards_per_pass_attempt,down_3_yards_per_completion,down_3_yards_per_carry,down_3_yards_per_target,down_3_yards_per_reception,down_3_pass_attempts_per_game,down_3_completions_per_game,down_3_passing_yards_per_game,down_3_passing_first_downs_per_game,down_3_carries_per_game,down_3_rushing_yards_per_game,down_3_rushing_first_downs_per_game,down_3_targets_per_game,down_3_receptions_per_game,down_3_receiving_yards_per_game,down_3_receiving_first_downs_per_game
2017,00-0019596,T.Brady,NE,QB,2,0,NA,52,562,52,562,16,NA,0.038,0.038,NA,NA,618,32,3.736,0.052,14,1,0,0,0,NA,0,NA,0.606,0.402,0.722,0.252,0.412,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,148,2012,10,1,11,81,8,-1,0,0,0,0,0,0,0,0,81,268,228,148,35,81,16,268,228,148,35,81,0.03,0,0,0,0,8.825,13.595,-0.125,0,0,14.25,9.25,125.75,5.062,0.5,-0.125,0,0,0,0,0,153,81,1019,9,6,13,62,13,29,0,0,6,0,0,0,0,0,68,46,156,83,19,63,16,46,156,83,19,63,0.283,0,0,0.316,0,6.66,12.58,2.231,0,0,9.562,5.062,63.688,3.875,0.812,2.231,0.375,0,0,0,0
2017,00-0020531,D.Brees,NO,QB,4,0,NA,41,574,41,574,16,NA,0.098,0.098,NA,NA,556,23,4.681,0.041,6,0,0,NA,0,NA,NA,NA,0.67,0.739,1.122,0.163,0.377,-0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,145,1712,10,2,2,65,13,7,1,0,1,0,0,0,0,0,66,255,201,145,40,65,16,255,201,145,40,65,0.051,0,0,0.025,0,8.517,11.807,0.538,0,0,12.562,9.062,107,4.062,0.812,0.538,0.062,0,0,0,0,154,99,1049,5,2,8,57,9,0,1,0,2,0,0,0,0,0,59,40,154,99,16,57,16,40,154,99,16,57,0.225,0,0,0.125,0,6.812,10.596,0,0,0,9.625,6.188,65.562,3.562,0.562,0,0.125,0,0,0,0
2017,00-0021206,J.McCown,NYJ,QB,6,0,NA,31,487,27,397,13,NA,0.194,0.222,NA,NA,437,18,5.534,0.041,13,0,0,NA,0,0,NA,0,0.855,0.644,1.255,-0.133,0.508,-0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,88,962,8,2,10,35,13,7,0,1,0,0,0,0,0,0,35,193,146,89,22,35,13,239,181,110,28,41,0.067,0,0,0,0,6.727,10.932,0.538,0,0,11,6.769,74,2.692,1,0.538,0,0,0,0,0,139,86,1044,6,3,15,54,15,114,2,0,10,0,0,0,0,0,64,45,142,86,19,54,13,52,176,97,24,57,0.333,0,0,0.526,0,7.511,12.14,7.6,0,0,10.692,6.615,80.308,4.154,1.154,7.6,0.769,0,0,0,0
2017,00-0021429,C.Palmer,ARI,QB,1,0,NA,19,488,9,196,7,NA,0.053,0.111,NA,NA,290,9,-0.035,0.031,2,0,0,NA,0,NA,NA,NA,0.32,-0.531,0.394,-0.028,0.18,-0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,66,862,4,4,9,39,5,0,0,0,0,0,0,0,0,0,39,83,120,67,5,40,7,236,234,130,16,78,0.06,0,0,0,0,7.496,13.061,0,0,0,16.429,9.429,123.143,5.571,0.714,0,0,0,0,0,0,82,44,552,2,2,7,29,6,12,0,0,4,0,0,0,0,0,33,11,88,47,6,30,7,25,208,102,11,71,0.545,0,0,0.667,0,6.732,12.545,2,0,0,11.714,6.286,78.857,4.143,0.857,2,0.571,0,0,0,0
2017,00-0022803,E.Manning,NYG,QB,0,0,NA,21,508,19,482,15,NA,0,0,NA,NA,607,19,-3.636,0.031,12,1,0,0,0,0,0,0,-0.11,0.852,0.02,-0.064,0.155,-0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189,119,1078,5,5,6,44,6,-4,0,0,0,0,0,0,0,0,44,223,190,119,20,44,15,238,199,124,21,44,0.027,0,0,0,0,5.704,9.059,-0.667,0,0,12.6,7.933,71.867,2.933,0.4,-0.667,0,0,0,0,0,171,84,906,5,4,14,54,3,13,0,0,1,0,0,0,0,0,55,41,172,84,15,54,15,43,184,89,17,57,0.073,0,0,0.067,0,5.298,10.786,4.333,0,0,11.4,5.6,60.4,3.6,0.2,4.333,0.067,0,0,0,0
2017,00-0022924,B.Roethlisberger,PIT,QB,0,0,NA,37,508,31,480,15,NA,0,0,NA,NA,586,28,2.913,0.048,12,0,0,NA,0,NA,NA,NA,0.25,0.323,0.125,0.232,0.275,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,234,155,1676,10,1,11,67,11,-9,0,0,0,0,0,0,0,0,67,216,234,155,24,67,15,231,247,165,27,71,0.051,0,0,0,0,7.162,10.813,-0.818,0,0,15.6,10.333,111.733,4.467,0.733,-0.818,0,0,0,0,0,166,95,1229,10,8,8,74,9,36,0,0,4,0,0,0,0,0,78,33,167,95,16,74,15,36,174,102,16,77,0.273,0,0,0.25,0,7.404,12.937,4,0,0,11.067,6.333,81.933,4.933,0.6,4,0.267,0,0,0,0
2017,00-0022942,P.Rivers,LAC,QB,1,0,NA,33,513,33,513,16,NA,0.03,0.03,NA,NA,594,28,1.018,0.047,15,0,0,NA,0,NA,NA,NA,0.466,0.789,0.166,0.188,0.464,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,130,1731,13,0,7,78,8,-9,0,0,0,0,0,0,0,0,78,250,214,131,30,78,16,250,214,131,30,78,0.032,0,0,0,0,8.127,13.315,-1.125,0,0,13.312,8.125,108.188,4.875,0.5,-1.125,0,0,0,0,0,169,99,1314,7,6,6,64,3,4,0,0,1,0,0,0,0,0,65,34,175,103,17,67,16,34,175,103,17,67,0.088,0,0,0.059,0,7.775,13.273,1.333,0,0,10.562,6.188,82.125,4,0.188,1.333,0.062,0,0,0,0
2017,00-0022999,J.Kuhn,NO,RB,0,0,0,41,574,5,32,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,00-0023436,A.Smith,KC,QB,3,0,NA,27,428,23,403,15,NA,0.111,0.13,NA,NA,541,26,4.993,0.048,12,1,0,0,0,0,0,0,0.845,1.137,1.299,0.188,0.118,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,132,1711,12,1,10,70,27,121,0,0,4,0,0,0,0,0,74,216,202,132,30,70,15,228,222,144,30,77,0.125,0,0,0.133,0,8.47,12.962,4.481,0,0,13.467,8.8,114.067,4.667,1.8,4.481,0.267,0,0,0,0,146,77,964,6,1,16,49,19,73,1,0,10,0,0,0,0,0,59,43,146,77,25,49,15,45,155,82,26,52,0.442,0,0,0.4,0,6.603,12.519,3.842,0,0,9.733,5.133,64.267,3.267,1.267,3.842,0.667,0,0,0,0
2017,00-0023459,A.Rodgers,GB,QB,1,0,NA,24,411,11,165,7,NA,0.042,0.091,NA,NA,262,16,0.847,0.061,4,0,0,NA,0,NA,NA,NA,0.299,1.528,0.566,0.08,0.353,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,72,733,6,1,7,30,10,43,0,0,2,0,0,0,0,0,32,80,119,82,9,34,7,194,236,152,22,57,0.125,0,0,0.222,0,6.981,10.181,4.3,0,0,15,10.286,104.714,4.286,1.429,4.3,0.286,0,0,0,0,60,26,366,5,2,9,23,7,50,0,0,5,0,0,0,0,0,28,18,74,31,12,27,7,48,163,77,32,51,0.389,0,0,0.417,0,6.1,14.077,7.143,0,0,8.571,3.714,52.286,3.286,1,7.143,0.714,0,0,0,0
