player_id,player_name,season,completions_total,attempts_total,passing_yards_total,passing_tds_total,interceptions_total,sacks_total,sack_yards_total,passing_air_yards_total,passing_yards_after_catch_total,passing_first_downs_total,carries_total,rushing_yards_total,rushing_tds_total,rushing_fumbles_total,rushing_first_downs_total,receptions_total,targets_total,receiving_yards_total,receiving_tds_total,receiving_air_yards_total,receiving_yards_after_catch_total,receiving_first_downs_total,fantasy_points_total,fantasy_points_ppr_total,games_played,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,sacks_avg,sack_yards_avg,passing_air_yards_avg,passing_yards_after_catch_avg,passing_first_downs_avg,passing_epa_avg,pacr_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,rushing_fumbles_avg,rushing_first_downs_avg,rushing_epa_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,receiving_yards_after_catch_avg,receiving_first_downs_avg,receiving_2pt_conversions_avg,racr_avg,target_share_avg,air_yards_share_avg,wopr_avg,fantasy_points_avg,fantasy_points_ppr_avg,position,green_zone_carries,HVTs,avg_pass_epa_deep_left,avg_pass_epa_deep_middle,avg_pass_epa_deep_right,avg_pass_epa_short_left,avg_pass_epa_short_middle,avg_pass_epa_short_right,avg_rec_epa_rec_deep_left,avg_rec_epa_rec_deep_middle,avg_rec_epa_rec_deep_right,avg_rec_epa_rec_short_left,avg_rec_epa_rec_short_middle,avg_rec_epa_rec_short_right,pct_targets_rec_deep_left,pct_targets_rec_deep_middle,pct_targets_rec_deep_right,pct_targets_rec_short_left,pct_targets_rec_short_middle,pct_targets_rec_short_right,total_tackled_for_loss,total_rb_carries,pct_carries_tackled_for_loss,routes,yprr,down_1_position,down_1_team,down_1_attempts,down_1_completions,down_1_passing_yards,down_1_passing_first_downs,down_1_carries,down_1_rushing_yards,down_1_rushing_first_downs,down_1_targets,down_1_receptions,down_1_receiving_yards,down_1_receiving_first_downs,down_1_team_carries_in_played_games,down_1_team_targets_in_played_games,down_1_team_receptions_in_played_games,down_1_team_rush_fd_in_played_games,down_1_team_rec_fd_in_played_games,down_1_games_played,down_1_team_carries_all_games,down_1_team_targets_all_games,down_1_team_receptions_all_games,down_1_yards_per_pass_attempt,down_1_yards_per_completion,down_1_yards_per_carry,down_1_yards_per_target,down_1_yards_per_reception,down_1_pass_attempts_per_game,down_1_completions_per_game,down_1_passing_yards_per_game,down_1_passing_first_downs_per_game,down_1_carries_per_game,down_1_rushing_yards_per_game,down_1_rushing_first_downs_per_game,down_1_targets_per_game,down_1_receptions_per_game,down_1_receiving_yards_per_game,down_3_position,down_3_team,down_3_attempts,down_3_completions,down_3_passing_yards,down_3_passing_first_downs,down_3_carries,down_3_rushing_yards,down_3_rushing_first_downs,down_3_targets,down_3_receptions,down_3_receiving_yards,down_3_receiving_first_downs,down_3_team_carries_in_played_games,down_3_team_targets_in_played_games,down_3_team_receptions_in_played_games,down_3_team_rush_fd_in_played_games,down_3_team_rec_fd_in_played_games,down_3_games_played,down_3_team_carries_all_games,down_3_team_targets_all_games,down_3_team_receptions_all_games,down_3_yards_per_pass_attempt,down_3_yards_per_completion,down_3_yards_per_carry,down_3_yards_per_target,down_3_yards_per_reception,down_3_pass_attempts_per_game,down_3_completions_per_game,down_3_passing_yards_per_game,down_3_passing_first_downs_per_game,down_3_carries_per_game,down_3_rushing_yards_per_game,down_3_rushing_first_downs_per_game,down_3_targets_per_game,down_3_receptions_per_game,down_3_receiving_yards_per_game,routes_per_game,TPRR,firstDPRR
00-0019596,Tom Brady,2017,385,581,4577,32,8,35,201,5308,1910,230,25,28,0,1,7,0,0,0,0,0,0,0,295.88,295.88,16,24.062,36.312,286.062,2,0.5,2.188,12.562,331.75,119.375,14.375,8.657,0.922,1.562,1.75,0,0.062,0.438,-0.763,0,0,0,0,0,0,0,0,0,0,0,0,18.492,18.492,QB,2,NA,0.606,0.402,0.722,0.252,0.412,0.203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,NE,228,148,2012,81,8,-1,0,0,0,0,0,268,228,148,35,81,16,268,228,148,8.825,13.595,-0.125,0,0,14.25,9.25,125.75,5.062,0.5,-0.125,0,0,0,0,QB,NE,153,81,1019,62,13,29,6,0,0,0,0,46,156,83,19,63,16,46,156,83,6.66,12.58,2.231,0,0,9.562,5.062,63.688,3.875,0.812,2.231,0.375,0,0,0,NA,NA,NA
00-0020531,Drew Brees,2017,386,536,4334,23,8,20,145,3417,2369,201,33,12,2,2,7,0,0,0,0,0,0,0,262.56,262.56,16,24.125,33.5,270.875,1.438,0.5,1.25,9.062,213.562,148.062,12.562,6.665,1.353,2.062,0.75,0.125,0.125,0.438,-0.521,0,0,0,0,0,0,0,0,0,0,0,0,16.41,16.41,QB,4,NA,0.67,0.739,1.122,0.163,0.377,-0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,NO,201,145,1712,65,13,7,1,0,0,0,0,255,201,145,40,65,16,255,201,145,8.517,11.807,0.538,0,0,12.562,9.062,107,4.062,0.812,0.538,0.062,0,0,0,QB,NO,154,99,1049,57,9,0,2,0,0,0,0,40,154,99,16,57,16,40,154,99,6.812,10.596,0,0,0,9.625,6.188,65.562,3.562,0.562,0,0.125,0,0,0,NA,NA,NA
00-0021206,Josh McCown,2017,267,397,2926,18,9,39,264,3036,1256,133,37,124,5,4,14,0,0,0,0,0,0,0,205.44,205.44,13,20.538,30.538,225.077,1.385,0.692,3,20.308,233.538,96.615,10.231,1.102,1.007,2.846,9.538,0.385,0.308,1.077,0.509,0,0,0,0,0,0,0,0,0,0,0,0,15.803,15.803,QB,6,NA,0.855,0.644,1.255,-0.133,0.508,-0.027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,NYJ,143,88,962,35,13,7,0,0,0,0,0,193,146,89,22,35,13,239,181,110,6.727,10.932,0.538,0,0,11,6.769,74,2.692,1,0.538,0,0,0,0,QB,NYJ,139,86,1044,54,15,114,10,0,0,0,0,45,142,86,19,54,13,52,176,97,7.511,12.14,7.6,0,0,10.692,6.615,80.308,4.154,1.154,7.6,0.769,0,0,0,NA,NA,NA
00-0021429,Carson Palmer,2017,164,267,1978,9,7,22,150,2499,743,94,14,12,0,2,5,0,0,0,0,0,0,0,102.32,102.32,7,23.429,38.143,282.571,1.286,1,3.143,21.429,357,106.143,13.429,-0.464,0.815,2,1.714,0,0.286,0.714,0.035,0,0,0,0,0,0,0,0,0,0,0,0,14.617,14.617,QB,1,NA,0.32,-0.531,0.394,-0.028,0.18,-0.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,ARI,115,66,862,39,5,0,0,0,0,0,0,83,120,67,5,40,7,236,234,130,7.496,13.061,0,0,0,16.429,9.429,123.143,5.571,0.714,0,0,0,0,0,QB,ARI,82,44,552,29,6,12,4,0,0,0,0,11,88,47,6,30,7,25,208,102,6.732,12.545,2,0,0,11.714,6.286,78.857,4.143,0.857,2,0.571,0,0,0,NA,NA,NA
00-0021547,Antonio Gates,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,52,316,3,432,66,16,49.6,79.6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875,3.25,19.75,0.188,27,4.125,1,0,0.699,0.088,0.086,0.193,3.1,4.975,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,320,0.99,TE,LAC,0,0,0,0,0,0,0,16,9,72,2,162,160,99,18,56,11,250,214,131,0,0,0,4.5,8,0,0,0,0,0,NA,0,1.455,0.818,6.545,TE,LAC,0,0,0,0,0,0,0,15,7,83,4,17,91,51,9,34,8,34,175,103,0,0,0,5.533,11.857,0,0,0,0,0,NA,0,1.875,0.875,10.375,20,0.162,0.05
00-0022127,Jason Witten,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,87,560,5,602,105,26,84,147,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.938,5.438,35,0.312,37.625,6.562,1.625,0,0.939,0.179,0.157,0.378,5.25,9.188,TE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478,1.17,TE,DAL,0,0,0,0,0,0,0,31,24,203,4,210,145,87,23,33,13,269,172,105,0,0,0,6.548,8.458,0,0,0,0,0,NA,0,2.385,1.846,15.615,TE,DAL,0,0,0,0,0,0,0,27,18,129,8,29,107,66,18,37,11,44,160,94,0,0,0,4.778,7.167,0,0,0,0,0,NA,0,2.455,1.636,11.727,29.875,0.182,0.054
00-0022803,Eli Manning,2017,352,571,3468,19,13,32,189,4171,1619,170,12,26,1,1,2,0,0,0,0,0,0,0,187.32,187.32,15,23.467,38.067,231.2,1.267,0.867,2.133,12.6,278.067,107.933,11.333,-3.956,0.888,0.8,1.733,0.067,0.067,0.133,-0.649,0,0,0,0,0,0,0,0,0,0,0,0,12.488,12.488,QB,NA,NA,-0.11,0.852,0.02,-0.064,0.155,-0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,NYG,189,119,1078,44,6,-4,0,0,0,0,0,223,190,119,20,44,15,238,199,124,5.704,9.059,-0.667,0,0,12.6,7.933,71.867,2.933,0.4,-0.667,0,0,0,0,QB,NYG,171,84,906,54,3,13,1,0,0,0,0,41,172,84,15,54,15,43,184,89,5.298,10.786,4.333,0,0,11.4,5.6,60.4,3.6,0.2,4.333,0.067,0,0,0,NA,NA,NA
00-0022921,Larry Fitzgerald,2017,1,1,21,0,0,0,0,18,3,1,0,0,0,0,0,109,161,1156,6,1336,408,66,152.44,261.44,16,0.062,0.062,1.312,0,0,0,0,1.125,0.188,0.062,0.078,0.073,0,0,0,0,0,0,6.812,10.062,72.25,0.375,83.5,25.5,4.125,0.062,1.05,0.281,0.241,0.591,9.528,16.34,WR,NA,NA,0,0,1.241,0,0,0,1.136,0.592,-0.208,-0.056,0.185,0.159,0.068,0.05,0.068,0.261,0.236,0.317,NA,NA,NA,650,1.78,WR,ARI,1,1,21,1,0,0,0,56,41,481,22,229,221,124,16,74,15,236,234,130,21,21,0,8.589,11.732,0.067,0.067,1.4,0.067,0,NA,0,3.733,2.733,32.067,WR,ARI,0,0,0,0,0,0,0,48,30,345,23,25,208,102,11,71,16,25,208,102,0,0,0,7.188,11.5,0,0,0,0,0,NA,0,3,1.875,21.562,40.625,0.248,0.102
00-0022924,Ben Roethlisberger,2017,361,562,4259,28,14,21,139,5002,2096,208,28,47,0,2,6,0,0,0,0,0,0,0,261.06,261.06,15,24.067,37.467,283.933,1.867,0.933,1.4,9.267,333.467,139.733,13.867,5.703,0.908,1.867,3.133,0,0.133,0.4,-0.331,0,0,0,0,0,0,0,0,0,0,0,0,17.404,17.404,QB,NA,NA,0.25,0.323,0.125,0.232,0.275,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,PIT,234,155,1676,67,11,-9,0,0,0,0,0,216,234,155,24,67,15,231,247,165,7.162,10.813,-0.818,0,0,15.6,10.333,111.733,4.467,0.733,-0.818,0,0,0,0,QB,PIT,166,95,1229,74,9,36,4,0,0,0,0,33,167,95,16,74,15,36,174,102,7.404,12.937,4,0,0,11.067,6.333,81.933,4.933,0.6,4,0.267,0,0,0,NA,NA,NA
00-0022942,Philip Rivers,2017,360,575,4515,28,10,18,120,4745,2144,216,18,-2,0,3,1,0,0,0,0,0,0,0,270.4,270.4,16,22.5,35.938,282.188,1.75,0.625,1.125,7.5,296.562,134,13.5,7.347,0.993,1.125,-0.125,0,0.188,0.062,-0.508,0,0,0,0,0,0,0,0,0,0,0,0,16.9,16.9,QB,1,NA,0.466,0.789,0.166,0.188,0.464,0.033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,QB,LAC,213,130,1731,78,8,-9,0,0,0,0,0,250,214,131,30,78,16,250,214,131,8.127,13.315,-1.125,0,0,13.312,8.125,108.188,4.875,0.5,-1.125,0,0,0,0,QB,LAC,169,99,1314,64,3,4,1,0,0,0,0,34,175,103,17,67,16,34,175,103,7.775,13.273,1.333,0,0,10.562,6.188,82.125,4,0.188,1.333,0.062,0,0,0,NA,NA,NA
