team,team_green_zone_carries_all_games,team_carries_all_games,team_targets_all_games,team_receptions_all_games,team_rush_fd_all_games,team_rec_fd_all_games,season
ARI,19,409,652,339,66,200,2017
ATL,40,431,554,343,101,200,2017
BAL,40,461,596,363,111,168,2017
BUF,37,488,522,288,105,148,2017
CAR,40,491,538,293,121,167,2017
CHI,30,423,513,291,93,144,2017
CIN,23,377,550,304,72,165,2017
CLE,30,385,624,312,97,157,2017
DAL,43,480,528,309,127,162,2017
DEN,26,457,622,332,92,180,2017
DET,27,364,621,374,58,210,2017
GB,24,386,616,352,99,176,2017
HOU,23,449,583,299,86,180,2017
IND,24,451,544,285,94,148,2017
JAX,40,528,556,316,101,193,2017
KC,27,406,581,363,95,198,2017
LA,43,454,546,320,97,185,2017
LAC,37,419,602,366,84,220,2017
LV,17,370,584,347,78,178,2017
MIA,11,361,636,373,66,187,2017
MIN,41,502,555,357,100,196,2017
NE,52,448,624,389,107,232,2017
NO,41,445,556,386,111,201,2017
NYG,25,395,647,373,66,178,2017
NYJ,31,428,559,323,77,157,2017
PHI,34,477,605,341,108,193,2017
PIT,37,438,618,385,96,218,2017
SEA,23,409,603,340,85,183,2017
SF,39,408,651,362,88,206,2017
TB,37,392,649,378,76,243,2017
TEN,37,443,531,306,97,157,2017
WAS,33,401,581,347,66,191,2017
NA,0,0,0,0,0,0,2017
ARI,22,356,549,283,76,137,2018
ATL,27,351,665,428,84,238,2018
BAL,48,549,590,334,153,184,2018
BUF,30,468,542,270,108,136,2018
CAR,46,417,599,378,117,212,2018
CHI,31,468,550,344,108,177,2018
CIN,28,359,583,331,92,182,2018
CLE,39,413,620,353,93,189,2018
DAL,37,440,584,356,113,184,2018
DEN,29,395,624,367,107,181,2018
DET,36,405,619,375,91,201,2018
GB,19,334,696,392,98,208,2018
HOU,34,472,569,345,94,202,2018
IND,40,410,665,432,96,237,2018
JAX,27,416,591,329,92,164,2018
KC,51,388,610,385,108,239,2018
LA,55,463,604,368,134,236,2018
LAC,28,400,553,348,100,213,2018
LV,39,388,609,382,86,197,2018
MIA,11,371,508,292,75,153,2018
MIN,20,357,651,425,66,218,2018
NE,56,478,596,378,131,206,2018
NO,74,475,541,381,134,210,2018
NYG,42,356,635,382,71,208,2018
NYJ,24,409,562,299,84,157,2018
PHI,39,402,641,422,94,221,2018
PIT,32,345,718,459,88,251,2018
SEA,42,534,479,280,133,156,2018
SF,35,425,584,331,98,201,2018
TB,36,390,670,408,80,265,2018
TEN,40,454,485,293,106,156,2018
WAS,22,414,556,311,96,156,2018
NA,0,0,0,0,0,0,2018
ARI,27,392,604,352,107,174,2019
ATL,22,363,742,459,84,258,2019
BAL,61,600,469,289,188,171,2019
BUF,34,466,555,299,120,162,2019
CAR,41,387,693,382,82,230,2019
CHI,33,395,626,371,85,178,2019
CIN,34,386,666,356,85,191,2019
CLE,43,395,584,319,92,181,2019
DAL,41,450,622,388,120,229,2019
DEN,30,410,546,312,77,162,2019
